Source Node	Target Node	Interaction Type
SUZ12	AEBP2	Undirected
DBP	DBP	Undirected
DBP	HLF	Undirected
DBP	TEF	Undirected
MAFK	NFE2L2	Undirected
MAFK	BACH2	Undirected
MAFK	NFE2L3	Undirected
MAFK	BACH1	Undirected
MAFK	NFE2L1	Undirected
MAFK	NFE2	Undirected
IL16	PPP1R12B	Undirected
IL16	PPP1R12A	Undirected
IL16	PPP1R12C	Undirected
PTP4A1	PTP4A1	Undirected
HCLS1	HAX1	Undirected
Serpinb1a	Ela1	Undirected
Serpinb1a	Ctsg	Undirected
Serpinb1a	Prtn3	Undirected
GOLGA4	MACF1	Undirected
Nol3	Fadd	Undirected
Nol3	Fas	Undirected
Nol3	Bax	Undirected
Nol3	Casp8	Undirected
MAPK7	MAP2K5	Undirected
IRF7	TRAF6	Undirected
IRF7	MYD88	Undirected
CXCR4	CXCL12	Undirected
Taf1a	Tbp	Undirected
Ndn	E2f1	Undirected
Unc13a	Stx1b	Undirected
Epha3	Efna5	Undirected
PECI	PECI	Undirected
CD1D	CD1D	Undirected
FST	FST	Undirected
FST	INHBA	Undirected
Hnrnpab	Tnf	Undirected
Ddit3	Rps3a	Undirected
APOBEC3G	APOBEC3G	Undirected
Stat4	Pdlim2	Undirected
Slc12a5	Ckb	Undirected
VIM	VIM	Undirected
BCAT2	BCAT2	Undirected
Mbl1	Mbl1	Undirected
SNAI1	GSK3B	Undirected
B3GAT1	B3GAT1	Undirected
Ppap2a	Ppap2a	Undirected
Grasp	Grasp	Undirected
Grasp	Grm2	Undirected
Grasp	Gabbr2	Undirected
Grasp	Grm1	Undirected
Grasp	Magi2	Undirected
Grasp	Grm5	Undirected
Grasp	Grm3	Undirected
Grasp	Dlg4	Undirected
Grasp	Dlgap3	Undirected
Grasp	Apba2	Undirected
EZH2	EED	Undirected
POLDIP3	POLD2	Undirected
HLF	HLF	Undirected
HLF	TEF	Undirected
NDUFS1	CASP3	Undirected
HSD17B4	HSD17B4	Undirected
SPINT1	HGFAC	Undirected
Actr10	ACTR1A	Undirected
SDCBP2	SDCBP2	Undirected
B4GALT1	B4GALT1	Undirected
Tank	TRAF2	Undirected
Gfpt2	Prkaca	Undirected
Rabac1	Rab6	Undirected
Ndn	Ndn	Undirected
RPP25	POP4	Undirected
RPP25	POP1	Undirected
RPP25	RPPH1	Undirected
ALDOC	ALDOC	Undirected
1810034K20Rik	1810034K20Rik	Undirected
Erh	Erh	Undirected
PSTPIP1	WAS	Undirected
PLXNB1	RND1	Undirected
ERCC1	ERCC4	Undirected
SERPINA1	ELA2	Undirected
SERPINA1	CTSG	Undirected
SIX1	TLE1	Undirected
SIX1	AES	Undirected
Pcbd2	Pcbd2	Undirected
BATF	DBP	Undirected
BATF	HLF	Undirected
BATF	NFIL3	Undirected
BATF	CEBPE	Undirected
BATF	ATF2	Undirected
BATF	CEBPA	Undirected
BATF	TEF	Undirected
HSPA9	VDAC1	Undirected
S100A13	S100A13	Undirected
PFN2	FHOD1	Undirected
Grid2ip	Pfn1	Undirected
Grid2ip	Grid2	Undirected
Grid2ip	Pfn2	Undirected
PECR	PECR	Undirected
DDEFL1	DDEFL1	Undirected
LMNB1	LMNB1	Undirected
LMNB1	KIAA0133	Undirected
PPP1CA	PPP1R8	Undirected
PPP1CA	C1orf114	Undirected
PPP1CA	PPP1R13B	Undirected
PPP1CA	PPP1R3B	Undirected
PPP1CA	PPP1R15A	Undirected
PPP1CA	FAM130A1	Undirected
PPP1CA	PPP1R10	Undirected
PPP1CA	PLCL2	Undirected
PPP1CA	SYTL2	Undirected
PPP1CA	MPHOSPH10	Undirected
PPP1CA	TP53	Undirected
PPP1CA	KIAA0649	Undirected
PPP1CA	PPP1R15B	Undirected
PPP1CA	ZFYVE16	Undirected
PPP1CA	SPRED1	Undirected
PPP1CA	CASC5	Undirected
PPP1CA	C9orf75	Undirected
PPP1CA	TOR1AIP1	Undirected
PPP1CA	TP53BP2	Undirected
PPP1CA	TUSC3	Undirected
PPP1CA	HEYL	Undirected
PPP1CA	STAM	Undirected
PPP1CA	KIF18A	Undirected
Siah2	Egln3	Undirected
CUTA	CUTA	Undirected
Arl6ip5	Arl6	Undirected
RAP1A	RAPGEF3	Undirected
RAP1A	RAPGEF5	Undirected
RAP1A	RAPGEF4	Undirected
PPARG	RXRA	Undirected
Scn10a	S100a10	Undirected
Sf3b2	Smad2	Undirected
Sf3b2	Smad3	Undirected
