Source Node	Target Node	Interaction Type
APPL1	APPL1	Undirected
UIMC1	CCDC98	Undirected
UIMC1	BRCC3	Undirected
SND1	PRPF8	Undirected
NUFIP2	FMR1	Undirected
CBX5	SP100	Undirected
MAPK1	JUN	Undirected
Pcaf	Nr2c1	Undirected
FRAP1	FKBP1A	Undirected
CCR10	Ccl27	Undirected
CDKN1A	CCND1	Undirected
CDKN1A	CCNE1	Undirected
Ntrk1	NGF	Undirected
WAS	CDC42	Undirected
WAS	NCK1	Undirected
KIF5B	KIF5B	Undirected
MAD2L1	MAD2L1	Undirected
MAD2L1	CDC20	Undirected
CUL1	NFKBIE	Undirected
CUL1	NFKBIB	Undirected
IL2	IL2RG	Undirected
HIRA	ASF1B	Undirected
Bmpr1b	Bmpr1b	Undirected
Bmpr1b	BMP6	Undirected
Bmpr1b	BMPR1A	Undirected
Bmpr1b	ACVR2A	Undirected
Bmpr1b	GDF5	Undirected
TNF	TNF	Undirected
TNF	LTA	Undirected
TNF	TNFRSF1B	Undirected
CDC25B	RAF1	Undirected
CDC25B	YWHAE	Undirected
CDC25B	YWHAB	Undirected
IL2RA	IL2RB	Undirected
UBTF	RB1	Undirected
Jun	Jun	Undirected
Jun	Nr3c1	Undirected
Jun	Fos	Undirected
Jun	Tdg	Undirected
F3	F7	Undirected
Ubtf	Myod1	Undirected
Ubtf	Myog	Undirected
FGF10	Fgfr2	Undirected
USF1	FOSL1	Undirected
E2F2	TFDP2	Undirected
RAC1	PLCB2	Undirected
NGFR	NGF	Undirected
HSP90AB1	HSP90AB1	Undirected
Eed	Ezh2	Undirected
GNB1	GNGT1	Undirected
GNB1	Gng4	Undirected
BMP6	Acvr2b	Undirected
BMP6	Acvr1	Undirected
RBX1	CUL1	Undirected
IL12RB2	IL12A	Undirected
IL12RB2	Il12b	Undirected
Cacnb2	CACNA1C	Undirected
CCNA2	CDKN1A	Undirected
CCNA2	CDK2	Undirected
CCNA2	SRC	Undirected
CCNA2	CDKN1B	Undirected
Ar	UBE2I	Undirected
Myod1	TCF3	Undirected
SKP1	CUL1	Undirected
SKP1	NFKBIB	Undirected
Mapk1	Araf	Undirected
Akt1	Stub1	Undirected
LDLR	PCSK9	Undirected
MMP2	LAMC2	Undirected
FCER1A	P01854	Undirected
NCL	SSB	Undirected
Rela	Nfkb1	Undirected
RXRA	RXRA	Undirected
RXRA	RARA	Undirected
RXRA	Nr1h4	Undirected
Rab6	Gdi2	Undirected
Rab6	Rabac1	Undirected
GAD2	GAD2	Undirected
U2AF2	U2AF1	Undirected
U2AF2	RBM17	Undirected
IL6	IL6	Undirected
IL6	OSM	Undirected
Gata3	NR2F2	Undirected
IL2RG	IL15	Undirected
HLA-DRB1	HLA-DRA	Undirected
SF3B1	RBM17	Undirected
MAP2K1	RAF1	Undirected
IL12B	IL12B	Undirected
IL12B	IL12A	Undirected
Ppard	Bcor	Undirected
KIT	GRB2	Undirected
Atf4	Jun	Undirected
PDK3	DLAT	Undirected
VEGFC	FLT4	Undirected
TYK2	PLAUR	Undirected
HLA-DMB	HLA-DMA	Undirected
ACTN2	Grin1	Undirected
IFNGR1	STAT1	Undirected
TGFBR3	TGFBR3	Undirected
TGFBR3	TGFB1	Undirected
GUSB	GUSB	Undirected
MMP1	TIMP1	Undirected
CCL7	CCR2	Undirected
CCL7	CCR3	Undirected
CCL7	CCR5	Undirected
ERBB4	ERBB4	Undirected
ERCC3	RAD52	Undirected
ERCC3	ERCC5	Undirected
ERCC3	GTF2H2	Undirected
BMPR1A	BMPR1A	Undirected
BMPR1A	BMP2	Undirected
NCOR1	TCF12	Undirected
BAD	Gimap5	Undirected
IL7	IL2RG	Undirected
ASF1A	HIRA	Undirected
ASF1A	CHAF1B	Undirected
TBP	GTF2B	Undirected
TBP	JUN	Undirected
TBP	SNAPC1	Undirected
TBP	E2F1	Undirected
TBP	TAF13	Undirected
TBP	SNAPC2	Undirected
KHDRBS1	SMARCA2	Undirected
PCNA	CDKN1A	Undirected
PCNA	CCNA2	Undirected
PCNA	PCNA	Undirected
PCNA	CDK2	Undirected
PCNA	RFC4	Undirected
PCNA	ING1	Undirected
PCNA	RAD17	Undirected
