 	Source Node    	Target Node    	Interaction Source	Interaction Type	PubMed	Mechanism	Edge Color	
 	TBC1D9         	TM6SF1         	                  	Directed        	      	         	          	
 	TBC1D9         	DLEU7          	                  	Directed        	      	         	          	
 	BC013077       	EPHA7          	                  	Directed        	      	         	          	
 	BC013077       	COL11A1        	                  	Directed        	      	         	          	
 	CLTA           	HSG00312992    	                  	Directed        	      	         	          	
 	CLTA           	AP3B2          	                  	Directed        	      	         	          	
 	CLTA           	LHFPL4         	                  	Directed        	      	         	          	
 	TENC1          	ACACB          	                  	Directed        	      	         	          	
 	TENC1          	FLNA           	                  	Directed        	      	         	          	
 	SDC4           	HSS00041283    	                  	Directed        	      	         	          	
 	80006          	Contig40020_RC 	                  	Directed        	      	         	          	
 	80006          	UBLCP1         	                  	Directed        	      	         	          	
 	80006          	PGBD1          	                  	Directed        	      	         	          	
 	80006          	TRUB1          	                  	Directed        	      	         	          	
 	80006          	ATR            	                  	Directed        	      	         	          	
 	80006          	HSG00399974    	                  	Directed        	      	         	          	
 	NKX6-2         	64077          	                  	Directed        	      	         	          	
 	NKX6-2         	C10orf90       	                  	Directed        	      	         	          	
 	NKX6-2         	PCSK6          	                  	Directed        	      	         	          	
 	NKX6-2         	ISG20          	                  	Directed        	      	         	          	
 	NKX6-2         	GPR62          	                  	Directed        	      	         	          	
 	NKX6-2         	SOX10          	                  	Directed        	      	         	          	
 	NKX6-2         	C11orf9        	                  	Directed        	      	         	          	
 	NKX6-2         	NKX1-2         	                  	Directed        	      	         	          	
 	NKX6-2         	AK057725       	                  	Directed        	      	         	          	
 	NKX6-2         	SLC45A3        	                  	Directed        	      	         	          	
 	SCN3A          	AF007137       	                  	Directed        	      	         	          	
 	SCN3A          	C8orf57        	                  	Directed        	      	         	          	
 	SCN3A          	KIAA1549       	                  	Directed        	      	         	          	
 	SCN3A          	NPY1R          	                  	Directed        	      	         	          	
 	SCN3A          	MUM1L1         	                  	Directed        	      	         	          	
 	SCN3A          	AL049277       	                  	Directed        	      	         	          	
 	HSS00006585    	HSG00211107    	                  	Directed        	      	         	          	
 	C10orf56       	PLEKHB1        	                  	Directed        	      	         	          	
 	C10orf56       	AMDHD1         	                  	Directed        	      	         	          	
 	TOX2           	HSS00296548    	                  	Directed        	      	         	          	
 	CADPS          	ROS1           	                  	Directed        	      	         	          	
 	CADPS          	ATP6V1G2       	                  	Directed        	      	         	          	
 	IGFBP6         	TSC22D3        	                  	Directed        	      	         	          	
 	ELF4           	TIMP2          	                  	Directed        	      	         	          	
 	C6orf65        	FAM80A         	                  	Directed        	      	         	          	
 	C6orf65        	GLRX2          	                  	Directed        	      	         	          	
 	TMEM149        	TYMP           	                  	Directed        	      	         	          	
 	BCL2A1         	MCTP2          	                  	Directed        	      	         	          	
 	XM_172255      	C11orf76       	                  	Directed        	      	         	          	
 	LGR5           	C4orf26        	                  	Directed        	      	         	          	
 	AF086007       	284371         	                  	Directed        	      	         	          	
 	AF086007       	MRAS           	                  	Directed        	      	         	          	
 	SLC30A3        	440896         	                  	Directed        	      	         	          	
 	SLC30A3        	AK097571       	                  	Directed        	      	         	          	
 	SLC30A3        	HSG00298675    	                  	Directed        	      	         	          	
 	SLC30A3        	HSS00168472    	                  	Directed        	      	         	          	
 	SLC30A3        	FRMPD2         	                  	Directed        	      	         	          	
 	SLC30A3        	GABRD          	                  	Directed        	      	         	          	
 	SLC30A3        	BC027906       	                  	Directed        	      	         	          	
 	HSS00138245    	AF218021       	                  	Directed        	      	         	          	
 	HSS00138245    	HSS00334772    	                  	Directed        	      	         	          	
 	HSS00138245    	CCT6B          	                  	Directed        	      	         	          	
 	HSS00138245    	CXorf48        	                  	Directed        	      	         	          	
 	HSS00138245    	TUSC5          	                  	Directed        	      	         	          	
 	HSS00138245    	ZNF226         	                  	Directed        	      	         	          	
 	DLG2           	GABRA4         	                  	Directed        	      	         	          	
 	DLG2           	LRRC8B         	                  	Directed        	      	         	          	
 	RFTN1          	HOPX           	                  	Directed        	      	         	          	
 	SLC22A11       	388512         	                  	Directed        	      	         	          	
 	ATF7IP2        	hCT1957917.1   	                  	Directed        	      	         	          	
 	ATF7IP2        	POLR1A         	                  	Directed        	      	         	          	
 	KCNG3          	MAGT1          	                  	Directed        	      	         	          	
 	ARL15          	AK021687       	                  	Directed        	      	         	          	
 	ARL15          	DKK2           	                  	Directed        	      	         	          	
 	HLA-B          	PSMB9          	                  	Directed        	      	         	          	
