Source Node    	Target Node    	Interaction Source	Interaction Type
C4orf16	SEC24D	Bayes	Directed
C4orf16	ETNK1	Bayes	Directed
CLTA	CALM3	Bayes	Directed
CLTA	NPTX1	Bayes	Directed
CLTA	HCN1	Bayes	Directed
SDC4	ACACB	Bayes	Directed
SDC4	143381	Bayes	Directed
SDC4	HSS00041283	Bayes	Directed
NKX6-2	BOK	Bayes	Directed
NKX6-2	CPNE2	Bayes	Directed
NKX6-2	DYSF	Bayes	Directed
NKX6-2	SEMA3B	Bayes	Directed
NKX6-2	KIF13B	Bayes	Directed
NKX6-2	SOX10	Bayes	Directed
NKX6-2	SOX8	Bayes	Directed
ERG	CMTM8	Bayes	Directed
C10orf56	PLEKHB1	Bayes	Directed
C10orf56	344148	Bayes	Directed
C10orf56	DOCK1	Bayes	Directed
C10orf56	HIPK2	Bayes	Directed
ELF4	NUAK2	Bayes	Directed
ELF4	PPP1R3B	Bayes	Directed
ELF4	RPS6KA1	Bayes	Directed
BC014174	Contig9714_RC	Bayes	Directed
BC014174	XM_065366	Bayes	Directed
BC014174	ADAM19	Bayes	Directed
AK097922	VEPH1	Bayes	Directed
AK097922	Contig6041_RC	Bayes	Directed
AK097922	MTNR1B	Bayes	Directed
AK097922	PPFIA4	Bayes	Directed
AK097922	hCT1643789.2	Bayes	Directed
TNFRSF1B	LRRC32	Bayes	Directed
TNFRSF1B	HLX	Bayes	Directed
TNFRSF1B	TCIRG1	Bayes	Directed
TNFRSF1B	EVI1	Bayes	Directed
CCL15	CCL14	Bayes	Directed
LGR5	MOSPD2	Bayes	Directed
LGR5	CPOX	Bayes	Directed
SHB	SUV420H2	Bayes	Directed
PDE11A	PDE11A	Bayes	Directed
AJ227898	HSS00020301	Bayes	Directed
HSS00138245	C12orf54	Bayes	Directed
HSS00138245	GDPD3	Bayes	Directed
HSS00138245	Contig45834_RC	Bayes	Directed
HSS00138245	AF086424	Bayes	Directed
LRRC28	RCC1	Bayes	Directed
LRRC28	HECTD2	Bayes	Directed
TCF12	SCN4B	Bayes	Directed
TCF12	THAP9	Bayes	Directed
TCF12	LACTB2	Bayes	Directed
Contig43905_RC	HADHB	Bayes	Directed
Contig43905_RC	HSS00337596	Bayes	Directed
SLC22A11	BC019842	Bayes	Directed
KBTBD3	HSG00251505	Bayes	Directed
PTGIS	FAM150B	Bayes	Directed
PTGIS	COL3A1	Bayes	Directed
HLA-B	XM_167124	Bayes	Directed
GNG12	DBI	Bayes	Directed
GNG12	PMP2	Bayes	Directed
C1orf27	THAP6	Bayes	Directed
CCNO	hCT1971397	Bayes	Directed
PLXNB1	GNAO1	Bayes	Directed
PLXNB1	SREBF1	Bayes	Directed
PLXNB1	RAPGEF3	Bayes	Directed
MYCL1	CBLC	Bayes	Directed
SPATA21	MRGPRE	Bayes	Directed
GNA13	P4HA1	Bayes	Directed
GNA13	SFRS12	Bayes	Directed
GNA13	NXT2	Bayes	Directed
CHI3L2	RASEF	Bayes	Directed
CHI3L2	KIAA0101	Bayes	Directed
UCHL1	hCT24071.2	Bayes	Directed
UCHL1	MLLT11	Bayes	Directed
HSS00079414	hCT1953811.1	Bayes	Directed
SLC9A9	MORC4	Bayes	Directed
HSG00204976	XM_166701	Bayes	Directed
HSG00204976	HSS00092525	Bayes	Directed
HSG00204976	HSS00183722	Bayes	Directed
EYA1	TMEM100	Bayes	Directed
EYA1	FZD1	Bayes	Directed
EYA1	RERG	Bayes	Directed
PLCD1	AK021634	Bayes	Directed
BC037932	SEMA6A	Bayes	Directed
BC037932	AK094909	Bayes	Directed
BC037932	AK022155	Bayes	Directed
Contig12803_RC	Contig5403_RC	Bayes	Directed
WAS	AK094924	Bayes	Directed
