Source Node    	Target Node    	Interaction Source	Interaction Type
HLA-DMA	CD4	Cell adhesion molecules (CAMs)	Not Directed
Semaphorin 3A	Neuropilin-1	Glycolysis and gluconeogenesis	Not Directed
GNB1	ADCY6	Taste transduction	Not Directed
CSK	GRLF1	Regulation of actin cytoskeleton	Not Directed
CARD11	IKBKG	B cell receptor signaling pathway	Not Directed
RAPGEF3	RASSF5	Leukocyte transendothelial migration	Not Directed
c-Fos	c-Jun	Erk Interactions: Activation and selected Erk targets	Not Directed
MAPK8	ELK1	ErbB signaling pathway	Not Directed
BTK	PLCG2	B cell receptor signaling pathway	Not Directed
FAK1	Paxillin	"Alanine, serine, cysteine, threonine and glycine metabolism"	Not Directed
COL5A1	COL5A3	Role of PBX in fibroblasts signaling pathways	Not Directed
TRAF2	FRAP1	Adipocytokine signaling pathway	Not Directed
CLCN voltage-gated	ATPase VC	Fructose metabolism	Not Directed
AKT3	BAD	Chronic myeloid leukemia	Not Directed
ITGA9	VCAM1	Cell adhesion molecules (CAMs)	Not Directed
440915	MYL6	Tight junction	Not Directed
TSLP	CRLF2	Cytokine-cytokine receptor interaction	Not Directed
VWF	ITGAV	ECM-receptor interaction	Not Directed
FN1	ITGB3	ECM-receptor interaction	Not Directed
FN1	SDC1	ECM-receptor interaction	Not Directed
Erk (MAPK1/3)	p90RSK3(RPS6KA2)	Erk Interactions: Activation and selected Erk targets	Not Directed
PBX1a/HOXB1	COL5A2	Role of PBX in fibroblasts signaling pathways	Not Directed
CLCF1	LIFR	Cytokine-cytokine receptor interaction	Not Directed
TNFSF10	TNFRSF10D	Apoptosis	Not Directed
WHN	TGM1	Aminosugars metabolism	Not Directed
CDC42	WASL	Adherens junction	Not Directed
BACE1	APP	Alzheimer's disease	Not Directed
PPARA	DBI	PPAR signaling pathway	Not Directed
TRAF6	NIK(MAP3K14)	Tyrosine metabolism	Not Directed
EPHB1	ABL1	Axon guidance	Not Directed
LCK	TYROBP	Natural killer cell mediated cytotoxicity	Not Directed
LTA	PSME1	Antigen processing and presentation	Not Directed
NFKB1	SOCS3	Adipocytokine signaling pathway	Not Directed
MAPK1	IRS1	Type II diabetes mellitus	Not Directed
Caspase-6	Lamin A/C	Caspases cascade activation by granzyme and other signaling proteins	Not Directed
ITGAL	ITGB2	Leukocyte transendothelial migration	Not Directed
AMPA receptor	Lyn	Fatty acid oxidation I	Not Directed
BUB1	MAD2L2	Cell cycle	Not Directed
CRK	PXN	Focal adhesion	Not Directed
CCL5	CCR3	Cytokine-cytokine receptor interaction	Not Directed
THBS1	ITGB3	ECM-receptor interaction	Not Directed
Furin	NOTCH1	Folic acid metabolism	Not Directed
ITGB1	VCAM1	Cell adhesion molecules (CAMs)	Not Directed
PPARA	FABP1	PPAR signaling pathway	Not Directed
MCM7	MCM3	Cell cycle	Not Directed
Matrilysin (MMP-7)	Beta-casein	Propionate metabolism. Part II	Not Directed
CD19	VAV3	B cell receptor signaling pathway	Not Directed
SKP1A	CDKN1B	Cell cycle	Not Directed
fex210	FXR	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
PXN	ITGA11	Focal adhesion	Not Directed
Estradiol	MaxiK alpha subunit	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
ITGB1	ITGA8	ECM-receptor interaction	Not Directed
RHOA	PXN	Leukocyte transendothelial migration	Not Directed
WASF2	Actin cytoskeletal	Focal adhesion complex formation: WASF-proteins and activation of RAP GTP-ase	Not Directed
FRAP1	RPS6KB1	mTOR signaling pathway	Not Directed
MYL6	440915	Leukocyte transendothelial migration	Not Directed
MITF	TYRP1	Melanogenesis	Not Directed
HUS1	ATR	dGTP/GTP/XTP metabolism	Not Directed
IL21	IL2RG	Cytokine-cytokine receptor interaction	Not Directed
PDPK1	AKT3	Insulin signaling pathway	Not Directed
RARA	CCNA1	Acute myeloid leukemia	Not Directed
HDAC1	RBPJL	Notch signaling pathway	Not Directed
Ca('2) cytosol	DREAM	Glycolysis and gluconeogenesis	Not Directed
CIITA	HLA-DMA	Antigen processing and presentation	Not Directed
RHEB	FRAP1	mTOR signaling pathway	Not Directed
ABI2	WASF1	Regulation of actin cytoskeleton	Not Directed
FASLG	FAS	MAPK signaling pathway	Not Directed
NCSTN	PSEN1	Notch signaling pathway	Not Directed
FGF1	FGFR1	MAPK signaling pathway	Not Directed
PPARD	ANGPTL4	PPAR signaling pathway	Not Directed
EFNB1	NCK2	Axon guidance	Not Directed
CCNA2	E2F1	Cell cycle	Not Directed
RAC1	MAPK8	Colorectal cancer	Not Directed
SHC2	GRB2	Natural killer cell mediated cytotoxicity	Not Directed
CFH	CFB	Complement and coagulation cascades	Not Directed
CDKN1A	CDK2	Cell cycle	Not Directed
EGFR	ERBB2	ErbB signaling pathway	Not Directed
GNAI1	HRAS	Gap junction	Not Directed
HRAS	ARAF	Melanoma	Not Directed
CD40LG	CD40	Cytokine-cytokine receptor interaction	Not Directed
MYL6	440915	Focal adhesion	Not Directed
C9	C5	ATP/ITP metabolism	Not Directed
SERPINC1	F10	Complement and coagulation cascades	Not Directed
PPARD	CPT1C	PPAR signaling pathway	Not Directed
VTI1B	TSNARE1	SNARE interactions in vesicular transport	Not Directed
C1R	C4A	Complement and coagulation cascades	Not Directed
STAT1	STAT3	Cholesterol metabolism III. Biosynthesis of bile acid	Not Directed
G-protein beta/gamma	PI3K cat class IB (p110-gamma)	"A2BR signaling via G-protein beta/gamma dimer. Activation of PI3K, PLCB and PLA2"	Not Directed
SRC	CDC42	GnRH signaling pathway	Not Directed
KRAS	PIK3R5	Pancreatic cancer	Not Directed
ERBB2	PIK3R5	Pancreatic cancer	Not Directed
SOS1	HRAS	Chronic myeloid leukemia	Not Directed
JAK2	GRB2	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
THBS1	SDC1	ECM-receptor interaction	Not Directed
ERBB2	PIK3CA	Non-small cell lung cancer	Not Directed
IRS-2	PI3K reg class IA	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
CALML6	CAMK2A	Olfactory transduction	Not Directed
TC21	RalGDS	Serotonin metabolism	Not Directed
PRKCE	IRS1	Type II diabetes mellitus	Not Directed
ORC3L	MCM5	Cell cycle	Not Directed
AKT3	GSK3B	Prostate cancer	Not Directed
Eotaxin	CCR3	Gamma-aminobutyrate (GABA) metabolism	Not Directed
STAT3	STAT3	Cholesterol metabolism III. Biosynthesis of bile acid	Not Directed
ITGA6	ITGB4	ECM-receptor interaction	Not Directed
KIR2DL1	PTPN6	Natural killer cell mediated cytotoxicity	Not Directed
MAPK1	PLA2G2D	Fc epsilon RI signaling pathway	Not Directed
INHBE	ACVR2B	Cytokine-cytokine receptor interaction	Not Directed
PBX1	PBX1a/HOXB1	Role of PBX in fibroblasts signaling pathways	Not Directed
ETS1	VEGFR-2	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
NKX2-2	NKX6-1	Maturity onset diabetes of the young	Not Directed
HDAC1	CTBP1	Chronic myeloid leukemia	Not Directed
JAB1	c-Jun	IMP biosynthesis	Not Directed
TFIIF	RNA polymerase II	Heme metabolism	Not Directed
SYK	PLCG2	B cell receptor signaling pathway	Not Directed
CDC25B	CDC2	Cell cycle	Not Directed
Tob1	SMAD4	NAD metabolism	Not Directed
ICAM1	RHOA	Leukocyte transendothelial migration	Not Directed
FLASH	Caspase-8	Caspases activation via nuclear import	Not Directed
MAP3K14	IKBKG	T cell receptor signaling pathway	Not Directed
